ID,model_ID,year,price,mileage,engineSize,transmission_ID,fuel_ID
10669,25,2020,30495,1200,2,1,1
10670,25,2020,29989,1000,1.5,1,5
10671,25,2020,37899,500,2,1,1
10672,25,2019,30399,5000,2,1,1
10673,25,2019,29899,4500,2,1,1
10674,25,2020,30999,1000,2,1,1
10675,25,2020,35999,500,2,1,1
10676,25,2019,37990,1412,3,1,5
10677,25,2019,28990,3569,2,1,1
10678,25,2019,28990,3635,2,1,1
10679,25,2013,9995,44900,1.600000024,1,5
10680,25,2012,6995,88200,2.099999905,1,1
10681,25,2012,7495,115000,2.099999905,1,1
10682,25,2011,8995,69250,2.099999905,1,1
10683,25,2015,14995,49850,2.099999905,1,1
10684,25,2013,8595,82685,2.099999905,1,1
10685,25,2016,19250,32506,2.099999905,4,1
10686,25,2017,23500,17000,2.099999905,4,1
10687,25,2018,24995,17744,2,4,1
10688,25,2016,29995,64291,4,4,5
10689,25,2014,17990,41011,2,1,5
10690,25,2016,14477,72000,1.600000024,1,1
10691,25,2013,10977,72000,2.099999905,1,1
10692,25,2016,17977,40000,1.600000024,1,1
10693,25,2015,12790,52000,2.099999905,1,1
10694,25,2017,14488,66472,2.099999905,1,1
10695,25,2011,7500,91000,2.099999905,2,1
10696,25,2013,9750,69700,2.099999905,1,1
10697,25,2015,15995,39000,1.600000024,1,1
10698,25,2016,15675,39287,2.099999905,2,1
10699,25,2016,16475,40569,2.099999905,2,1
10700,25,2016,15975,37419,2,2,5
10701,25,2016,16475,34452,2.099999905,1,1
10702,25,2015,15975,41567,2.099999905,1,3
10703,25,2015,16495,41130,2,1,3
10704,25,2017,17795,37778,2.099999905,1,1
10705,25,2017,17875,44325,2.099999905,1,1
10706,25,2016,14000,45000,2.099999905,1,1
10707,25,2017,16500,75000,1.600000024,1,1
10708,25,2016,21000,36000,2.099999905,1,1
10709,25,2015,15500,64000,2.099999905,1,1
10710,25,2013,7250,106000,2.099999905,2,1
10711,25,2015,13000,67150,2.099999905,1,1
10712,25,2012,11000,43426,1.600000024,1,5
10713,25,2016,13300,42622,2.099999905,2,1
10714,25,2016,16000,34903,2.099999905,2,1
10715,25,2014,12500,35345,2.099999905,1,1
10716,25,2015,14495,23146,2,2,5
10717,25,2017,24500,16000,2.099999905,1,1
10718,25,2013,23990,44000,6.199999809,1,5
10719,25,2015,17250,30000,2.099999905,1,1
10720,25,2015,14200,22000,1.600000024,1,5
10721,25,2017,22950,19000,2,1,5
10722,25,2013,10500,90000,2.099999905,1,1
10723,25,2014,15650,32000,2.099999905,1,1
10724,25,2015,14850,90000,2.099999905,1,1
10725,25,2017,22400,37000,2.099999905,1,1
10726,25,2017,19950,23000,2.099999905,1,1
10727,25,2014,9990,78000,2.099999905,1,1
10728,25,2015,11990,47000,2.099999905,1,1
10729,25,2017,20990,18000,2.099999905,1,1
10730,25,2015,14490,64000,2.099999905,1,1
10731,25,2013,10490,50000,2.099999905,1,1
10732,25,2016,15990,65000,2.099999905,1,1
10733,25,2016,17850,38000,2.099999905,1,1
10734,25,2016,16450,70000,2.099999905,1,1
10735,25,2013,11350,69000,2.099999905,1,1
